Grado,A1,A2,A3,AP,AU,S1,S2,S3,SP,Unidades
0,0.16,0.17,0.18,0.17,uW,0,0.01,0.03,0.013333333,mW
1,0.59,0.6,0.61,0.6,uW,0.02,0.03,0.05,0.033333333,mW
2,1.84,1.85,1.86,1.85,uW,0.11,0.13,0.14,0.126666667,mW
3,4,4.1,4.2,4.1,uW,0.24,0.25,0.26,0.25,mW
4,6.68,6.68,6.7,6.686666667,uW,0.39,0.4,0.41,0.4,mW
5,9.55,9.58,9.61,9.58,uW,0.58,0.59,0.6,0.59,mW
6,12.3,12.35,12.37,12.34,uW,0.74,0.75,0.77,0.753333333,mW
7,14.65,14.66,14.68,14.66333333,uW,0.88,0.89,0.9,0.89,mW
8,16.15,16.18,16.19,16.17333333,uW,0.96,0.97,0.97,0.966666667,mW
9,16.56,16.55,16.59,16.56666667,uW,1.01,1.02,1.03,1.02,mW
10,15.99,16,16.2,16.06333333,uW,0.98,0.99,1,0.99,mW
11,14.69,14.71,14.74,14.71333333,uW,0.87,0.88,0.9,0.883333333,mW
12,12.65,12.66,12.67,12.66,uW,0.75,0.76,0.77,0.76,mW
13,10.12,10.13,10.17,10.14,uW,0.58,0.59,0.6,0.59,mW
14,7.1,7.12,7.14,7.12,uW,0.42,0.43,0.44,0.43,mW
15,4.26,4.27,4.29,4.273333333,uW,0.26,0.27,0.28,0.27,mW
16,1.98,1.99,2,1.99,uW,0.12,0.13,0.14,0.13,mW
17,0.61,0.62,0.65,0.626666667,uW,0.04,0.05,0.06,0.05,mW
18,0.18,0.19,0.2,0.19,uW,0.01,0.02,0.03,0.02,mW
19,0.67,0.68,0.69,0.68,uW,0.04,0.05,0.06,0.05,mW
20,2.04,2.06,2.07,2.056666667,uW,0.12,0.13,0.14,0.13,mW
21,4.15,4.16,4.17,4.16,uW,0.25,0.26,0.28,0.263333333,mW
22,6.82,6.84,6.86,6.84,uW,0.39,0.41,0.44,0.413333333,mW
23,9.23,9.26,9.28,9.256666667,uW,0.55,0.56,0.57,0.56,mW
24,12.1,12.12,12.14,12.12,uW,0.73,0.74,0.75,0.74,mW
25,14.65,14.66,14.68,14.66333333,uW,0.87,0.88,0.89,0.88,mW
26,16.05,16.07,16.09,16.07,uW,0.95,0.96,0.97,0.96,mW
27,16.21,16.23,16.25,16.23,uW,0.98,0.99,1,0.99,mW
28,16.43,16.43,16.45,16.43666667,uW,0.94,0.95,0.97,0.953333333,mW
29,14.41,14.44,14.47,14.44,uW,0.89,0.91,0.91,0.903333333,mW
30,12.86,12.87,12.9,12.87666667,uW,0.74,0.75,0.76,0.75,mW
31,9.65,9.63,9.65,9.643333333,uW,0.59,0.6,0.61,0.6,mW
32,6.94,6.96,6.97,6.956666667,uW,0.43,0.45,0.44,0.44,mW
33,4.48,4.49,4.5,4.49,uW,0.26,0.27,0.29,0.273333333,mW
34,2.2,2.21,2.22,2.21,uW,0.11,0.12,0.15,0.126666667,mW
35,0.69,0.7,0.71,0.7,uW,0.04,0.05,0.07,0.053333333,mW
36,0.17,0.18,0.19,0.18,uW,0,0.01,0.02,0.01,mW
